contig	length	type
9_AE1712_C14_N3_8_80m_c_NODE_22_length_31270_cov_13.890424	31270	s
9_AE1712_C14_N3_8_80m_c_NODE_26_length_29432_cov_29.700698	29432	s
9_AE1712_C14_N3_8_80m_c_NODE_58_length_20574_cov_13.049568	20574	s
9_AE1712_C14_N3_8_80m_c_NODE_72_length_17888_cov_16.032059	17888	s
9_AE1712_C14_N3_8_80m_c_NODE_76_length_17740_cov_15.051747	17740	s
9_AE1712_C14_N3_8_80m_c_NODE_148_length_12859_cov_9.605774	12859	s
9_AE1712_C14_N3_8_80m_c_NODE_154_length_12682_cov_14.065133	12682	s
9_AE1712_C14_N3_8_80m_c_NODE_177_length_12023_cov_11.021597	12023	s
9_AE1712_C14_N3_8_80m_c_NODE_180_length_11912_cov_15.029742	11912	s
9_AE1712_C14_N3_8_80m_c_NODE_195_length_11487_cov_50.111919	11487	s
9_AE1712_C14_N3_8_80m_c_NODE_208_length_11173_cov_6.964672	11173	s
10_AE1712_C14_N14_19_200m_v_NODE_10_length_431711_cov_30.724378	431711	s
10_AE1712_C14_N14_19_200m_v_NODE_17_length_329826_cov_46.577582	329826	s
10_AE1712_C14_N14_19_200m_v_NODE_23_length_289360_cov_29.479731	289360	s
10_AE1712_C14_N14_19_200m_v_NODE_99_length_97574_cov_79.591177	97574	s
10_AE1712_C14_N14_19_200m_v_NODE_100_length_97471_cov_30.404891	97471	s
10_AE1712_C14_N14_19_200m_v_NODE_105_length_93582_cov_14.308711	93582	s
10_AE1712_C14_N14_19_200m_v_NODE_112_length_88333_cov_15.154698	88333	s
10_AE1712_C14_N14_19_200m_v_NODE_132_length_76639_cov_10.774170	76639	s
10_AE1712_C14_N14_19_200m_v_NODE_146_length_67950_cov_12.402737	67950	s
10_AE1712_C14_N14_19_200m_v_NODE_148_length_65995_cov_39.562972	65995	s
10_AE1712_C14_N14_19_200m_v_NODE_149_length_65317_cov_16.384641	65317	s
10_AE1712_C14_N14_19_200m_v_NODE_150_length_64917_cov_27.729596	64917	s
10_AE1712_C14_N14_19_200m_v_NODE_154_length_63503_cov_29.169142	63503	s
10_AE1712_C14_N14_19_200m_v_NODE_174_length_56025_cov_20.882570	56025	s
10_AE1712_C14_N14_19_200m_v_NODE_175_length_55942_cov_39.635693	55942	s
10_AE1712_C14_N14_19_200m_v_NODE_177_length_55730_cov_174.157709	55730	s
10_AE1712_C14_N14_19_200m_v_NODE_178_length_55606_cov_20.537899	55606	s
10_AE1712_C14_N14_19_200m_v_NODE_184_length_53214_cov_14.861170	53214	s
10_AE1712_C14_N14_19_200m_v_NODE_185_length_53146_cov_17.322618	53146	s
10_AE1712_C14_N14_19_200m_v_NODE_187_length_52172_cov_43.648392	52172	s
10_AE1712_C14_N14_19_200m_v_NODE_190_length_52131_cov_10.792235	52131	s
10_AE1712_C14_N14_19_200m_v_NODE_200_length_49702_cov_15.787829	49702	s
10_AE1712_C14_N14_19_200m_v_NODE_203_length_49423_cov_23.367770	49423	s
10_AE1712_C14_N14_19_200m_v_NODE_209_length_47907_cov_27.186117	47907	s
10_AE1712_C14_N14_19_200m_v_NODE_211_length_47570_cov_19.875834	47570	s
10_AE1712_C14_N14_19_200m_v_NODE_213_length_47530_cov_20.372579	47530	s
10_AE1712_C14_N14_19_200m_v_NODE_215_length_47070_cov_12.640074	47070	s
10_AE1712_C14_N14_19_200m_v_NODE_216_length_46744_cov_16.945058	46744	s
10_AE1712_C14_N14_19_200m_v_NODE_219_length_46573_cov_47.098224	46573	s
10_AE1712_C14_N14_19_200m_v_NODE_221_length_46074_cov_10.293584	46074	s
10_AE1712_C14_N14_19_200m_v_NODE_223_length_45738_cov_28.100874	45738	s
10_AE1712_C14_N14_19_200m_v_NODE_230_length_44793_cov_48.710216	44793	s
10_AE1712_C14_N14_19_200m_v_NODE_232_length_44648_cov_14.041776	44648	s
10_AE1712_C14_N14_19_200m_v_NODE_234_length_44324_cov_16.061066	44324	s
10_AE1712_C14_N14_19_200m_v_NODE_235_length_44146_cov_13.093308	44146	s
10_AE1712_C14_N14_19_200m_v_NODE_240_length_43312_cov_11.978628	43312	s
10_AE1712_C14_N14_19_200m_v_NODE_241_length_43019_cov_9.532299	43019	s
10_AE1712_C14_N14_19_200m_v_NODE_242_length_42763_cov_13.525699	42763	s
10_AE1712_C14_N14_19_200m_v_NODE_244_length_42491_cov_19.249635	42491	s
10_AE1712_C14_N14_19_200m_v_NODE_245_length_42300_cov_35.812969	42300	s
10_AE1712_C14_N14_19_200m_v_NODE_249_length_41447_cov_78.087527	41447	s
10_AE1712_C14_N14_19_200m_v_NODE_252_length_40600_cov_13.711818	40600	s
10_AE1712_C14_N14_19_200m_v_NODE_254_length_40439_cov_37.676379	40439	s
10_AE1712_C14_N14_19_200m_v_NODE_258_length_39809_cov_11.901641	39809	s
10_AE1712_C14_N14_19_200m_v_NODE_261_length_39206_cov_27.113905	39206	s
10_AE1712_C14_N14_19_200m_v_NODE_267_length_38548_cov_11.460659	38548	s
10_AE1712_C14_N14_19_200m_v_NODE_273_length_37977_cov_29.982216	37977	s
10_AE1712_C14_N14_19_200m_v_NODE_277_length_37461_cov_14.009951	37461	s
10_AE1712_C14_N14_19_200m_v_NODE_279_length_37159_cov_28.541017	37159	s
10_AE1712_C14_N14_19_200m_v_NODE_287_length_36314_cov_196.815548	36314	s
10_AE1712_C14_N14_19_200m_v_NODE_289_length_35673_cov_15.169879	35673	s
10_AE1712_C14_N14_19_200m_v_NODE_291_length_35649_cov_14.344035	35649	s
10_AE1712_C14_N14_19_200m_v_NODE_292_length_35524_cov_137.201907	35524	s
10_AE1712_C14_N14_19_200m_v_NODE_294_length_35486_cov_13.673755	35486	s
10_AE1712_C14_N14_19_200m_v_NODE_296_length_35285_cov_9.247217	35285	s
10_AE1712_C14_N14_19_200m_v_NODE_297_length_35176_cov_10.478646	35176	s
10_AE1712_C14_N14_19_200m_v_NODE_298_length_34978_cov_13.085413	34978	s
10_AE1712_C14_N14_19_200m_v_NODE_299_length_34650_cov_16.730975	34650	s
10_AE1712_C14_N14_19_200m_v_NODE_301_length_34481_cov_16.508691	34481	s
10_AE1712_C14_N14_19_200m_v_NODE_302_length_34448_cov_26.118268	34448	s
10_AE1712_C14_N14_19_200m_v_NODE_305_length_34150_cov_46.622047	34150	s
10_AE1712_C14_N14_19_200m_v_NODE_306_length_33817_cov_9.155720	33817	s
10_AE1712_C14_N14_19_200m_v_NODE_307_length_33744_cov_23.324918	33744	s
10_AE1712_C14_N14_19_200m_v_NODE_308_length_33600_cov_9.665782	33600	s
10_AE1712_C14_N14_19_200m_v_NODE_310_length_33163_cov_6.940216	33163	s
10_AE1712_C14_N14_19_200m_v_NODE_313_length_32732_cov_17.414362	32732	s
10_AE1712_C14_N14_19_200m_v_NODE_318_length_32220_cov_91.662073	32220	s
10_AE1712_C14_N14_19_200m_v_NODE_321_length_32072_cov_16.248226	32072	s
10_AE1712_C14_N14_19_200m_v_NODE_322_length_32070_cov_9.676273	32070	s
10_AE1712_C14_N14_19_200m_v_NODE_323_length_31949_cov_44.981237	31949	s
10_AE1712_C14_N14_19_200m_v_NODE_330_length_31523_cov_12.346690	31523	s
10_AE1712_C14_N14_19_200m_v_NODE_333_length_31278_cov_15.451844	31278	s
10_AE1712_C14_N14_19_200m_v_NODE_343_length_30653_cov_18.916405	30653	s
10_AE1712_C14_N14_19_200m_v_NODE_344_length_30614_cov_14.355765	30614	s
10_AE1712_C14_N14_19_200m_v_NODE_345_length_30563_cov_38.271403	30563	s
10_AE1712_C14_N14_19_200m_v_NODE_348_length_30149_cov_16.040137	30149	s
10_AE1712_C14_N14_19_200m_v_NODE_356_length_29385_cov_9.629316	29385	s
10_AE1712_C14_N14_19_200m_v_NODE_357_length_29271_cov_16.695211	29271	s
10_AE1712_C14_N14_19_200m_v_NODE_358_length_29246_cov_17.826322	29246	s
10_AE1712_C14_N14_19_200m_v_NODE_359_length_29004_cov_18.232378	29004	s
10_AE1712_C14_N14_19_200m_v_NODE_363_length_28870_cov_9.117042	28870	s
10_AE1712_C14_N14_19_200m_v_NODE_365_length_28843_cov_11.935375	28843	s
10_AE1712_C14_N14_19_200m_v_NODE_366_length_28805_cov_12.925647	28805	s
10_AE1712_C14_N14_19_200m_v_NODE_370_length_28122_cov_15.573828	28122	s
10_AE1712_C14_N14_19_200m_v_NODE_376_length_27908_cov_18.725917	27908	s
10_AE1712_C14_N14_19_200m_v_NODE_377_length_27825_cov_11.734143	27825	s
10_AE1712_C14_N14_19_200m_v_NODE_379_length_27762_cov_7.786708	27762	s
10_AE1712_C14_N14_19_200m_v_NODE_381_length_27663_cov_8.930653	27663	s
10_AE1712_C14_N14_19_200m_v_NODE_384_length_27346_cov_17.726649	27346	s
10_AE1712_C14_N14_19_200m_v_NODE_386_length_27157_cov_17.401108	27157	s
10_AE1712_C14_N14_19_200m_v_NODE_388_length_27141_cov_14.833025	27141	s
10_AE1712_C14_N14_19_200m_v_NODE_390_length_26816_cov_102.180897	26816	s
10_AE1712_C14_N14_19_200m_v_NODE_391_length_26792_cov_16.022384	26792	s
10_AE1712_C14_N14_19_200m_v_NODE_393_length_26763_cov_11.483849	26763	s
10_AE1712_C14_N14_19_200m_v_NODE_394_length_26740_cov_25.796347	26740	s
10_AE1712_C14_N14_19_200m_v_NODE_396_length_26362_cov_13.585353	26362	s
10_AE1712_C14_N14_19_200m_v_NODE_397_length_26292_cov_11.239939	26292	s
10_AE1712_C14_N14_19_200m_v_NODE_398_length_26252_cov_20.400688	26252	s
10_AE1712_C14_N14_19_200m_v_NODE_400_length_26118_cov_7.948696	26118	s
10_AE1712_C14_N14_19_200m_v_NODE_402_length_25958_cov_16.457363	25958	s
10_AE1712_C14_N14_19_200m_v_NODE_403_length_25958_cov_10.704571	25958	s
10_AE1712_C14_N14_19_200m_v_NODE_404_length_25922_cov_21.576785	25922	s
10_AE1712_C14_N14_19_200m_v_NODE_416_length_25033_cov_11.732129	25033	s
10_AE1712_C14_N14_19_200m_v_NODE_417_length_24823_cov_19.597228	24823	s
10_AE1712_C14_N14_19_200m_v_NODE_419_length_24706_cov_15.271550	24706	s
10_AE1712_C14_N14_19_200m_v_NODE_420_length_24702_cov_10.170396	24702	s
10_AE1712_C14_N14_19_200m_v_NODE_421_length_24588_cov_12.015258	24588	s
10_AE1712_C14_N14_19_200m_v_NODE_422_length_24479_cov_310.367306	24479	s
10_AE1712_C14_N14_19_200m_v_NODE_428_length_24224_cov_10.268108	24224	s
10_AE1712_C14_N14_19_200m_v_NODE_429_length_24184_cov_17.276185	24184	s
10_AE1712_C14_N14_19_200m_v_NODE_430_length_24039_cov_8.880978	24039	s
10_AE1712_C14_N14_19_200m_v_NODE_434_length_23558_cov_28.866062	23558	s
10_AE1712_C14_N14_19_200m_v_NODE_436_length_23294_cov_12.025283	23294	s
10_AE1712_C14_N14_19_200m_v_NODE_439_length_23136_cov_22.562730	23136	s
10_AE1712_C14_N14_19_200m_v_NODE_442_length_23086_cov_11.634578	23086	s
10_AE1712_C14_N14_19_200m_v_NODE_443_length_23013_cov_20.948204	23013	s
10_AE1712_C14_N14_19_200m_v_NODE_447_length_22878_cov_36.216350	22878	s
10_AE1712_C14_N14_19_200m_v_NODE_448_length_22838_cov_13.370898	22838	s
10_AE1712_C14_N14_19_200m_v_NODE_451_length_22747_cov_8.162903	22747	s
10_AE1712_C14_N14_19_200m_v_NODE_453_length_22732_cov_14.634165	22732	s
10_AE1712_C14_N14_19_200m_v_NODE_454_length_22673_cov_15.860019	22673	s
10_AE1712_C14_N14_19_200m_v_NODE_456_length_22572_cov_18.819560	22572	s
10_AE1712_C14_N14_19_200m_v_NODE_457_length_22565_cov_9.738572	22565	s
10_AE1712_C14_N14_19_200m_v_NODE_458_length_22514_cov_6.303249	22514	s
10_AE1712_C14_N14_19_200m_v_NODE_461_length_22424_cov_16.522173	22424	s
10_AE1712_C14_N14_19_200m_v_NODE_466_length_22297_cov_6.920342	22297	s
10_AE1712_C14_N14_19_200m_v_NODE_467_length_22266_cov_13.175042	22266	s
10_AE1712_C14_N14_19_200m_v_NODE_469_length_22186_cov_13.108101	22186	s
10_AE1712_C14_N14_19_200m_v_NODE_476_length_21926_cov_9.840588	21926	s
10_AE1712_C14_N14_19_200m_v_NODE_479_length_21782_cov_9.997144	21782	s
10_AE1712_C14_N14_19_200m_v_NODE_482_length_21641_cov_8.772306	21641	s
10_AE1712_C14_N14_19_200m_v_NODE_483_length_21614_cov_17.062869	21614	s
10_AE1712_C14_N14_19_200m_v_NODE_487_length_21399_cov_21.657302	21399	s
10_AE1712_C14_N14_19_200m_v_NODE_488_length_21386_cov_10.525365	21386	s
10_AE1712_C14_N14_19_200m_v_NODE_495_length_21054_cov_17.762979	21054	s
10_AE1712_C14_N14_19_200m_v_NODE_496_length_20996_cov_21.081122	20996	s
10_AE1712_C14_N14_19_200m_v_NODE_499_length_20929_cov_17.857184	20929	s
10_AE1712_C14_N14_19_200m_v_NODE_501_length_20885_cov_29.727653	20885	s
10_AE1712_C14_N14_19_200m_v_NODE_502_length_20786_cov_28.632575	20786	s
10_AE1712_C14_N14_19_200m_v_NODE_503_length_20780_cov_17.576873	20780	s
10_AE1712_C14_N14_19_200m_v_NODE_505_length_20749_cov_13.132788	20749	s
10_AE1712_C14_N14_19_200m_v_NODE_507_length_20707_cov_7.795686	20707	s
10_AE1712_C14_N14_19_200m_v_NODE_510_length_20574_cov_8.972679	20574	s
10_AE1712_C14_N14_19_200m_v_NODE_512_length_20521_cov_12.353600	20521	s
10_AE1712_C14_N14_19_200m_v_NODE_515_length_20403_cov_14.751402	20403	s
10_AE1712_C14_N14_19_200m_v_NODE_516_length_20387_cov_8.564205	20387	s
10_AE1712_C14_N14_19_200m_v_NODE_520_length_20253_cov_23.453013	20253	s
10_AE1712_C14_N14_19_200m_v_NODE_525_length_20072_cov_11.390548	20072	s
10_AE1712_C14_N14_19_200m_v_NODE_527_length_19978_cov_10.479524	19978	s
10_AE1712_C14_N14_19_200m_v_NODE_529_length_19923_cov_11.949259	19923	s
10_AE1712_C14_N14_19_200m_v_NODE_530_length_19842_cov_28.963319	19842	s
10_AE1712_C14_N14_19_200m_v_NODE_532_length_19727_cov_45.456081	19727	s
10_AE1712_C14_N14_19_200m_v_NODE_534_length_19696_cov_33.422346	19696	s
10_AE1712_C14_N14_19_200m_v_NODE_537_length_19614_cov_37.339817	19614	s
10_AE1712_C14_N14_19_200m_v_NODE_541_length_19499_cov_8.427659	19499	s
10_AE1712_C14_N14_19_200m_v_NODE_542_length_19435_cov_7.191549	19435	s
10_AE1712_C14_N14_19_200m_v_NODE_550_length_19157_cov_7.954717	19157	s
10_AE1712_C14_N14_19_200m_v_NODE_552_length_18993_cov_15.958289	18993	s
10_AE1712_C14_N14_19_200m_v_NODE_553_length_18968_cov_13.183262	18968	s
10_AE1712_C14_N14_19_200m_v_NODE_555_length_18934_cov_7.931484	18934	s
10_AE1712_C14_N14_19_200m_v_NODE_557_length_18886_cov_21.141049	18886	s
10_AE1712_C14_N14_19_200m_v_NODE_559_length_18843_cov_12.304380	18843	s
10_AE1712_C14_N14_19_200m_v_NODE_560_length_18737_cov_9.481726	18737	s
10_AE1712_C14_N14_19_200m_v_NODE_562_length_18531_cov_12.836675	18531	s
10_AE1712_C14_N14_19_200m_v_NODE_563_length_18469_cov_7.307525	18469	s
10_AE1712_C14_N14_19_200m_v_NODE_564_length_18437_cov_11.892157	18437	s
10_AE1712_C14_N14_19_200m_v_NODE_565_length_18424_cov_9.894370	18424	s
10_AE1712_C14_N14_19_200m_v_NODE_569_length_18387_cov_12.313708	18387	s
10_AE1712_C14_N14_19_200m_v_NODE_572_length_18307_cov_26.595283	18307	s
10_AE1712_C14_N14_19_200m_v_NODE_573_length_18295_cov_8.932320	18295	s
10_AE1712_C14_N14_19_200m_v_NODE_574_length_18259_cov_53.392256	18259	s
10_AE1712_C14_N14_19_200m_v_NODE_580_length_18072_cov_11.682634	18072	s
10_AE1712_C14_N14_19_200m_v_NODE_581_length_18069_cov_35.186249	18069	s
10_AE1712_C14_N14_19_200m_v_NODE_583_length_18033_cov_9.498608	18033	s
10_AE1712_C14_N14_19_200m_v_NODE_586_length_17977_cov_117.011229	17977	s
10_AE1712_C14_N14_19_200m_v_NODE_588_length_17948_cov_8.764031	17948	s
10_AE1712_C14_N14_19_200m_v_NODE_592_length_17821_cov_8.153911	17821	s
10_AE1712_C14_N14_19_200m_v_NODE_594_length_17800_cov_15.585341	17800	s
10_AE1712_C14_N14_19_200m_v_NODE_599_length_17686_cov_11.630246	17686	s
10_AE1712_C14_N14_19_200m_v_NODE_601_length_17677_cov_42.659886	17677	s
10_AE1712_C14_N14_19_200m_v_NODE_602_length_17677_cov_8.560511	17677	s
10_AE1712_C14_N14_19_200m_v_NODE_603_length_17668_cov_26.584276	17668	s
10_AE1712_C14_N14_19_200m_v_NODE_605_length_17633_cov_8.703919	17633	s
10_AE1712_C14_N14_19_200m_v_NODE_606_length_17606_cov_12.869473	17606	s
10_AE1712_C14_N14_19_200m_v_NODE_607_length_17527_cov_11.643266	17527	s
10_AE1712_C14_N14_19_200m_v_NODE_608_length_17498_cov_11.902015	17498	s
10_AE1712_C14_N14_19_200m_v_NODE_609_length_17490_cov_8.368920	17490	s
10_AE1712_C14_N14_19_200m_v_NODE_613_length_17264_cov_29.513469	17264	s
10_AE1712_C14_N14_19_200m_v_NODE_617_length_17238_cov_88.054193	17238	s
10_AE1712_C14_N14_19_200m_v_NODE_618_length_17219_cov_32.164975	17219	s
10_AE1712_C14_N14_19_200m_v_NODE_622_length_17122_cov_9.390496	17122	s
10_AE1712_C14_N14_19_200m_v_NODE_628_length_17014_cov_8.337014	17014	s
10_AE1712_C14_N14_19_200m_v_NODE_630_length_16995_cov_13.043622	16995	s
10_AE1712_C14_N14_19_200m_v_NODE_633_length_16821_cov_8.804945	16821	s
10_AE1712_C14_N14_19_200m_v_NODE_634_length_16809_cov_9.388358	16809	s
10_AE1712_C14_N14_19_200m_v_NODE_636_length_16785_cov_5.948288	16785	s
10_AE1712_C14_N14_19_200m_v_NODE_638_length_16722_cov_7.459958	16722	s
10_AE1712_C14_N14_19_200m_v_NODE_643_length_16677_cov_14.079940	16677	s
10_AE1712_C14_N14_19_200m_v_NODE_644_length_16658_cov_14.674145	16658	s
10_AE1712_C14_N14_19_200m_v_NODE_649_length_16596_cov_21.875174	16596	s
10_AE1712_C14_N14_19_200m_v_NODE_650_length_16439_cov_11.107261	16439	s
10_AE1712_C14_N14_19_200m_v_NODE_651_length_16430_cov_17.937626	16430	s
10_AE1712_C14_N14_19_200m_v_NODE_660_length_16159_cov_27.296045	16159	s
10_AE1712_C14_N14_19_200m_v_NODE_663_length_16104_cov_10.424970	16104	s
10_AE1712_C14_N14_19_200m_v_NODE_664_length_16099_cov_23.323867	16099	s
